id,topic,from,to,contents,date,type,party,state,constituency,constituency_type
1535,ODOFP Scheme,"['Joshi, Prof. Rita Bahuguna']",AGRICULTURE AND FARMERS WELFARE,"Will the Minister of AGRICULTURE AND FARMERS WELFARE be pleased to state: (a) whether the Government has finalized a list of all the 728 districts across the country for One District One Focus Product (ODOFP); (b) if so, the details thereof, district-wise; (c) the list of districts where Government has started delivering all the centrally sponsored schemes to the farmers under the said project; and (d) whether Allahabad in Uttar Pradesh and its nearby areas are also covered in ODOFP; if so, the details thereof?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Allahabad'],['']
1536,Construction of Roads in Railway Crossings under PMGSY,"['Koli, Smt. Ranjeeta']",RURAL DEVELOPMENT,"Will the Minister of RURAL DEVELOPMENT be pleased to state: (a) whether there is any provision to construct a road on both sides of railway crossings situated near villages under Pradhan Mantri Gramin Sadak Yojana (PMGSY); (b) if so, the details thereof; and (c) if not, the steps taken by the Government to approve the said proposal in view of rural development?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Rajasthan'],['Bharatpur'],['SC']
1537,OBC Reservation,"['Singh, Shri Ganesh']",SOCIAL JUSTICE AND EMPOWERMENT,"Will the Minister of SOCIAL JUSTICE AND EMPOWERMENT be pleased to state: (a) whether it is correct that in the direct recruitment of Group C and Group D post of the Government of India, on which local or regional candidates are generally interested for appointment, the 27 per cent reservation prescribed for Other Backward Classes has been amended; (b) if so, the details thereof; (c) whether direct recruitment of Group C and Group D post of Government of India is done on local or regional basis instead of all India level and there is a provision to invite applications from local candidates only, if so, the details thereof; and (d) the time when the amendment was made in the 27 per cent reservation prescribed for OBCs for direct recruitment of Group C and Group D posts of the Government of India and State-wise reduction made in the percentage of OBC reservation from 1993 to 2021?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Madhya Pradesh'],['Satna'],['']
1538,Monitoring Team to Check Infiltration,"['Paswan, Shri Chirag']",HOME AFFAIRS,"Will the Minister of HOME AFFAIRS be pleased to state: (a) whether the Government proposes to constitute a special monitoring team to monitor and check infiltration in view of steep rise in population ratio particularily in bordering areas, if so, the details thereof; (b) the number of cases of infiltration that has come to light in bordering areas during the last three years; (c) the action taken by the Government in this regard; and (d) the details of the steps being taken by the Government to deal with the population imbalance in such areas? 290",2021-12-07,UNSTARRED,['Lok Jan Shakti Party'],['Bihar'],['Jamui'],['SC']
1539,PMGSY in Bihar,"['Devi, Smt. Rama']",RURAL DEVELOPMENT,Will the Minister of RURAL DEVELOPMENT be pleased to state: (a) the details of roads identified for development under Pradhan Mantri Gram Sadak Yojana (PMGSY) in different areas/districts of Bihar; (b) the targets fixed for road construction in kilometers during the current and forth coming fiscal year; and (c) the details of funds allocated under the aforesaid scheme for the above mentioned districts?,2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Bihar'],['Sheohar'],['']
1540,Restriction on Sowing of Paddy,"['Reddy, Shri Uttam Kumar Nalamada']",AGRICULTURE AND FARMERS WELFARE,"Will the Minister of AGRICULTURE AND FARMERS WELFARE be pleased to state: (a) whether there are restrictions by the Government on sowing of paddy in Rabi crop 2021, if so, the details thereof; and (b) whether the Government has issued any restriction on sowing of any crops in Telangana and if so, the details thereof?",2021-12-07,UNSTARRED,['Indian National Congress'],['Telangana'],['Nalgonda'],['']
1541,Cold Storage and Warehouse Facilities,"['Nishad, Shri Ajay', 'Maadam, Smt. Poonamben Hematbhai']",AGRICULTURE AND FARMERS WELFARE,"Will the Minister of AGRICULTURE AND FARMERS WELFARE be pleased to state: (a) whether there is any shortage of cold storage and warehouse facilities in the country; (b) if so, whether the Government is planning to strengthen the same in the country; (c) if so, the details thereof, State-wise including Gujarat; (d) the present capacity of cold storage and warehousing in the country including the shortfall for the last three years and the cold storage units in public, private and cooperative sectors, State-wise; (e) the number of cold storage and warehousing infrastrucre created during the past three years, State-wise including Gujarat; the year-wise details of the the last (f) whether the Government provides financial assistance for setting up of these facilities and if so, funds sanctioned, allocated and disbursed to the States during two years and current year, State-wise; . (g) whether the Government has implemented any scheme for creating warehouse facility in rural areas, if so, the details thereof; and (h) the strategic plan for doubling farmers income in Gujarat?",2021-12-07,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party']","['Bihar', 'Gujarat']","['Muzaffarpur', 'Jamnagar']","['', '']"
1542,Dairy Products Market in North East,"['Das, Shri Pallab Lochan']","FISHERIES, ANIMAL HUSBANDRY AND DAIRYING","Will the Minister of FISHERIES, ANIMAL HUSBANDRY AND DAIRYING , be pleased to state: (a) whether it is a fact that there is immense marketing potential of dairy products in Northeastern States particularly in the State of Assam; (b) whether it is a fact that North Eastern Region faces milk scarcity; and (c) if so, the details of initiatives taken by the Government to increase quality and quantity of milk and milk products in North Eastern Region?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Assam'],['Tezpur'],['']
1543,Expansion of FPIs,"['Chauhan, Shri Nihal Chand', 'Kaswan, Shri Rahul']",FOOD PROCESSING INDUSTRIES,"Will the Minister of FOOD PROCESSING INDUSTRIES be pleased to state: (a) the progress made with respect to setting-up/ expansion of Food Processing Industries (FPI) in various States/UTs of the country including Rajasthan during the last three years, State-wise; (b) whether the Government has carried out any study for setting-up and expansion of such industries in the country; (c) if so, the details thereof including the steps taken by the Government for expansion and dissemination of food processing industries in the country; (d) the number of Mega Food Parks set-up so far in the country; (e) whether the Government is working on any roadmap for setting-up of these parks in future; and (f) if so, the details thereof along with the progress made so far?",2021-12-07,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party']","['Rajasthan', 'Rajasthan']","['Ganganagar', 'Churu']","['SC', '']"
1544,Pradhan Mantri Matsaya Sampada Yojana in Maharashtra,"['Raut, Shri Vinayak Bhaurao']","FISHERIES, ANIMAL HUSBANDRY AND DAIRYING","Will the Minister of FISHERIES, ANIMAL HUSBANDRY AND DAIRYING , 291 be pleased to state: (a) the new projects taken up under the Pradhan Mantri Matsaya Sampada Yojana (PMMSY) in Maharashtra; (b) whether any steps have been taken for seaweed development and special fisheries export ports; and (c) if so, the details thereof and if not, the reasons therefor?",2021-12-07,UNSTARRED,['Shiv Sena'],['Maharashtra'],['Ratnagiri-Sindhudurg'],['']
1545,Stubble Burning,"['Shejwalkar, Shri Vivek Narayan']",AGRICULTURE AND FARMERS WELFARE,"Will the Minister of AGRICULTURE AND FARMERS WELFARE be pleased to state: (a) the action plan formulated by the Government to solve the problem of environmental pollution emerging due to stubble burning posing a health threat for citizens of the country; (b) whether the Government is providing any subsidy on the machines used for stubble cutting; (c) if so, the details thereof; and (d) the steps taken by the Union Government for promotion of small scale industries making product made from stubble?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Madhya Pradesh'],['Gwalior'],['']
1546,Survey of Fishing Ports,"['Singh, Shri Lallu']","FISHERIES, ANIMAL HUSBANDRY AND DAIRYING","Will the Minister of FISHERIES, ANIMAL HUSBANDRY AND DAIRYING , be pleased to state: (a) whether the Government has conducted any survey to identify such fishing ports which lack infrastructure and other facilities; (b) whether the Government has received any proposal from States for conducting survey of fishing ports in coastal States; and (c) if so, the details of the proposals received for setting up fishing ports during the last three years and current year, State/UT-wise?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Faizabad'],['']
1547,Promotion of Traditional Rural Sports ‘SILAMBAM’,"['Baalu, Shri Thalikkottai Rajuthevar']",YOUTH AFFAIRS AND SPORTS,"Will the Minister of YOUTH AFFAIRS AND SPORTS be pleased to state: (a) whether the Government is having any special schemes for promoting sports talent among rural youth and if so, the details thereof; . (b) the details of the amount budgeted and spent for the purpose during the last five years; (c) whether traditional rural sports such as SILAMBAM in Tamil Nadu are accorded priority in the schemes for rural sports promotion and development; and (d) if so, the details thereof and if not, the reasons therefor?",2021-12-07,UNSTARRED,['Dravida Munnetra Kazhagam'],['Tamil Nadu'],['Sriperumbudur'],['']
1548,Upgradation of Agricultural Universities,"['Tatkare, Shri Sunil Dattatray']",AGRICULTURE AND FARMERS WELFARE,"Will the Minister of AGRICULTURE AND FARMERS WELFARE be pleased to state: (a) whether the Union Government has received any proposal from the Maharashtra Government for upgradation of State Agricultural Universities to Central Agricultural University in the last three years and current year; (b) if so, the details thereof and the action taken by the Government on the said proposals and the total amount sanctioned by the Government for the said purpose; and (c) the other steps taken by the Government to develop the infrastructure and teaching in Agricultural Universities to meet the current demand?",2021-12-07,UNSTARRED,['Nationalist Congress Party'],['Maharashtra'],['Raigad'],['']
1549,RFID Tagging of Stray Animal,"['Rathod, Shri Dipsinh Shankarsinh', 'Kundariya, Shri Mohanbhai Kalyanji']","FISHERIES, ANIMAL HUSBANDRY AND DAIRYING","Will the Minister of FISHERIES, ANIMAL HUSBANDRY AND DAIRYING , be pleased to state: (a) whether the Government has introduced Radio Frequency Identification (RFID) tagging of livestocks in the country to curb the stray animal menace and check insurance frauds; (b) if so, the details thereof; (c) the significant features & organisation responsible for implementation of the said programme; (d) the details of quantum of funds allocated and expenditure incurred till date; (e) whether safety measures are ensured while putting tags to livestocks; (f) if so, the details thereof; and (g) if not the reasons therefor?",2021-12-07,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party']","['Gujarat', 'Gujarat']","['Sabarkantha', 'Rajkot']","['', '']"
